Results of Calibration

Calibration Date/time     :  2018-04-16 16:45:12
Resistance type           :  PTC (Positive Temperature Coefficient) 
Calibration function      :  T(¡æ) = k¡¤R(¦¸) + b 
Fitting parameters(k b)   :  0.2573098296   -257.3950757761 
Or
T&R relationship          :  R(¦¸) = k'¡¤T(¡æ) + b' 
Fitting parameters(k' b') :  3.8863653263   1000.3312976689 


     Resistance/¦¸       Measured/¡æ     Calculated/¡æ      Residual/mK
    961.1924701000     -9.9875238100    -10.0708050536       -83.2812436
    980.6786348000     -4.9990000000     -5.0568233345       -57.8233345
   1000.2193040000     -0.0117222220     -0.0288170719       -17.0948499
   1019.7328600000      4.9765000000      4.9922126980        15.7126980
   1039.2181110000      9.9663636360     10.0059593131        39.5956771
   1058.6676910000     14.9574000000     15.0105274292        53.1274292
   1078.0909260000     19.9494444400     20.0083167179        58.8722779
   1097.4871430000     24.9420000000     24.9991540097        57.1540097
   1116.8589800000     29.9361764700     29.9837180877        47.5416177
   1136.1987930000     34.9321666700     34.9600420758        27.8754058
   1174.8211530000     44.9340015000     44.8979549473       -36.0465527
   1213.4267570000     54.9371894700     54.8315563353      -105.6331347

Correlation coefficient   :  0.9999957889 
Standard Deviation        :  0.0558541631  ¡æ

